"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"1","communityEvent",0,0,98.6426386990209,7.22903639863263,2.82516556291391,257.635761589404,2265
"2","communityEvent",0,1,95.9361200329569,8.00020812393946,2.20220750551876,264.030463576159,2265
"3","communityEvent",0,2,72.3092971847512,5.71836191792663,2.67593818984547,256.372185430464,2265
"4","communityEvent",0,3,52.0362492967314,3.02614362601934,3.2635761589404,259.774834437086,2265
"5","communityEvent",0,4,38.8833415610314,2.00449709801424,2.94348785871965,281.137306843267,2265
"6","communityEvent",0,5,30.7618751643021,1.55048339232642,3.24194260485651,310.351434878587,2265
"7","communityEvent",0,6,26.255465043029,1.71234006898843,2.91346578366446,294.123178807947,2265
"8","communityEvent",0,7,22.7628798297215,1.66265540777222,3.28432671081678,288.082560706402,2265
"9","communityEvent",0,8,19.4890989541615,1.80706545161054,3.20971302428256,323.854304635762,2265
"10","communityEvent",0,9,17.1863576770248,1.99024317236857,3.28388520971302,338.750110375276,2265
"11","communityEvent",0,10,15.563214483852,2.08042081973348,3.14657836644592,345.191169977925,2265
"12","communityEvent",1,0,94.7926378742606,16.5222919223001,200.26357615894,593.196909492274,2265
"13","communityEvent",1,1,5.81435805440015,0.645630156928172,193.779249448124,583.049889624724,2265
"14","communityEvent",1,2,3.04989935860233,0.822036269157206,194.670198675497,585.073289183223,2265
"15","communityEvent",1,3,2.11644601685435,0.876951491045514,193.54701986755,598.327593818984,2265
"16","communityEvent",1,4,1.64691531865959,0.905140498767351,197.337306843267,580.996026490066,2265
"17","communityEvent",1,5,1.34290603928413,0.908045093329777,199.435761589404,581.153642384106,2265
"18","communityEvent",1,6,1.13494572391921,0.910649482401714,199.663134657837,583.312141280353,2265
"19","communityEvent",1,7,0.982373367221545,0.952294648085664,203.392494481236,591.250331125828,2265
"20","communityEvent",1,8,0.874582082410353,0.973573695744566,198.190728476821,579.090949227373,2265
"21","communityEvent",1,9,0.783300455085724,0.940712038939325,196.490507726269,577.849889624724,2265
"22","communityEvent",1,10,0.706660245618537,0.958969574123097,203.611479028698,577.97527593819,2265
"23","communityEvent",2,0,96.9727083334674,11.0323143487635,43.79646799117,218.142163355408,2265
"24","communityEvent",2,1,29.9510027838329,2.76157671090494,57.6229580573951,291.018984547461,2265
"25","communityEvent",2,2,15.2092291985253,1.62205607661811,63.9916114790287,325.298013245033,2265
"26","communityEvent",2,3,10.4575816718631,1.54115925058029,56.2278145695364,287.757174392936,2265
"27","communityEvent",2,4,7.84277121365574,1.58781973246518,57.5708609271523,311.531567328918,2265
"28","communityEvent",2,5,6.15119105643278,1.61878302521644,61.8061810154525,347.810154525386,2265
"29","communityEvent",2,6,5.51089355049024,1.61086913956043,51.2441501103753,274.227814569536,2265
"30","communityEvent",2,7,4.49905609071307,1.72622089660213,69.6291390728477,376.143929359823,2265
"31","communityEvent",2,8,4.20733530261068,1.73469763730862,52.0189845474614,268.072406181015,2265
"32","communityEvent",2,9,3.66526786514988,1.7598062539621,60.0181015452539,322.077262693157,2265
"33","communityEvent",2,10,3.38543752958996,1.82527491343296,63.1200883002208,308.873730684327,2265
"34","economicIncentive",0,0,98.6533120996487,7.17984147465706,3.13686534216336,263.306843267108,2265
"35","economicIncentive",0,1,26.177463246859,1.83693878113125,2.37306843267108,261.506401766004,2265
"36","economicIncentive",0,2,12.91297190428,2.23474123767603,2.65430463576159,268.118322295806,2265
"37","economicIncentive",0,3,8.6574374078086,2.44788756338046,2.87284768211921,270.715673289183,2265
"38","economicIncentive",0,4,6.45520481802768,2.48656671693397,2.13377483443709,254.034878587196,2265
"39","economicIncentive",0,5,5.2513664775123,2.62430045273597,2.48211920529801,256.880353200883,2265
"40","economicIncentive",0,6,4.40954351055094,2.78511637134195,1.82825607064018,255.136865342163,2265
"41","economicIncentive",0,7,3.74711235215853,2.83535298024699,2.53289183222958,264.575717439294,2265
"42","economicIncentive",0,8,3.23000268207253,2.83888695561107,2.3841059602649,250.390286975717,2265
"43","economicIncentive",0,9,2.90146771439538,2.84067086353808,2.18631346578366,261.772626931567,2265
"44","economicIncentive",0,10,2.58679919787425,2.90615855808895,2.84282560706402,253.215011037528,2265
"45","economicIncentive",1,0,94.8623458499577,16.3761084591131,196.0706401766,590.377483443709,2265
"46","economicIncentive",1,1,45.2382726739731,7.12017798654598,195.064017660044,584.359381898455,2265
"47","economicIncentive",1,2,23.1319753147966,2.00434811644697,194.440618101545,585.126269315673,2265
"48","economicIncentive",1,3,15.968242289868,0.785557117523603,200.258719646799,581.717439293598,2265
"49","economicIncentive",1,4,11.8768346273265,0.447595507772013,198.150993377483,587.906843267108,2265
"50","economicIncentive",1,5,9.44214963722032,0.574234983765796,200.183222958057,589.317439293598,2265
"51","economicIncentive",1,6,7.98605079364229,0.672534306184969,196.615011037528,584.343929359823,2265
"52","economicIncentive",1,7,6.80507136858653,0.6278855872008,199.845474613687,580.334657836645,2265
"53","economicIncentive",1,8,6.10866970601472,0.642924247897052,203.883002207506,589.892715231788,2265
"54","economicIncentive",1,9,5.24537023218562,0.679508477831552,200.04591611479,573.169094922737,2265
"55","economicIncentive",1,10,4.85380547412738,0.679839359907287,201.516114790287,580.867549668874,2265
"56","economicIncentive",2,0,96.966114323781,11.0913151237426,51.2203090507726,300.537748344371,2265
"57","economicIncentive",2,1,26.3698686846656,1.67370843446617,46.4799116997793,236.97880794702,2265
"58","economicIncentive",2,2,13.1731142862713,1.27456380348393,52.8604856512141,275.083002207506,2265
"59","economicIncentive",2,3,8.89383643375339,1.48962585418905,61.7064017660044,303.612362030905,2265
"60","economicIncentive",2,4,6.58518216922984,1.62476022757165,71.7496688741722,362.542604856512,2265
"61","economicIncentive",2,5,5.33320866557848,1.69818211096365,52.5302428256071,255.496247240618,2265
"62","economicIncentive",2,6,4.45515020487331,1.73639786051187,57.5783664459161,318.690507726269,2265
"63","economicIncentive",2,7,3.88830905209595,1.7672051360667,57.9315673289183,286.052097130243,2265
"64","economicIncentive",2,8,3.41140553270145,1.79239040125498,53.8604856512141,271.61412803532,2265
"65","economicIncentive",2,9,3.07186898476884,1.82840698165101,55.237527593819,293.861368653422,2265
"66","economicIncentive",2,10,2.7617292596607,1.81014543432106,72.7112582781457,377.617218543046,2265
"67","legalPolicy",0,0,98.6567999087908,7.17240164478105,2.26887417218543,249.324944812362,2265
"68","legalPolicy",0,1,24.4060733236473,1.34645997657021,2.53774834437086,256.22119205298,2265
"69","legalPolicy",0,2,12.2765784390053,2.23142858819442,3.33289183222958,255.330684326711,2265
"70","legalPolicy",0,3,8.19306869731756,2.46559288053455,2.32229580573951,263.443267108168,2265
"71","legalPolicy",0,4,6.15927179081461,2.55457272812696,2.30066225165563,265.131567328918,2265
"72","legalPolicy",0,5,4.93710061559963,2.63946158935268,2.43399558498896,256.402207505519,2265
"73","legalPolicy",0,6,4.13176511883119,2.80469972479395,1.93333333333333,257.253421633554,2265
"74","legalPolicy",0,7,3.55562119153358,2.81631700798784,2.99337748344371,272.640176600442,2265
"75","legalPolicy",0,8,3.11916662621438,2.78797460316467,2.55938189845475,260.685651214128,2265
"76","legalPolicy",0,9,2.7889925629807,2.8152951914215,2.54878587196468,259,2265
"77","legalPolicy",0,10,2.5328357695322,2.9244106143683,2.21015452538631,248.184105960265,2265
"78","legalPolicy",1,0,94.8810731665191,16.3503491833378,191.672406181015,581.808388520971,2265
"79","legalPolicy",1,1,35.4814796390516,3.70755090511024,199.749668874172,588.79293598234,2265
"80","legalPolicy",1,2,18.1060234442277,0.714293419458566,194.104635761589,590.6706401766,2265
"81","legalPolicy",1,3,12.1624920504765,0.22265022769747,196.339514348786,586.127593818985,2265
