"","environmentType","intervention_type","contrast","emmean","SE","df","asymp.LCL","asymp.UCL","estimate","z.ratio","p.value"
"1",0,"communityEvent",".",44.5296852698641,1.27316132274963,Inf,42.0343349307655,47.0250356089628,NA,NA,NA
"2",0,"economicIncentive",".",15.9075164957364,1.27316132274951,Inf,13.412166156638,18.4028668348348,NA,NA,NA
"3",0,"legalPolicy",".",15.5233885532892,1.27316132274951,Inf,13.0280382141908,18.0187388923876,NA,NA,NA
"4",0,"sharedResource",".",43.1792363303798,1.27316132274951,Inf,40.6838859912814,45.6745866694782,NA,NA,NA
"5",0,"training",".",32.4650552175195,1.27316132274951,Inf,29.969704878421,34.9604055566179,NA,NA,NA
"6",0,"youthSocialization",".",78.2008464227864,1.27316132274951,Inf,75.705496083688,80.6961967618848,NA,NA,NA
"7",1,"communityEvent",".",10.2950022322448,1.27316132274837,Inf,7.79965189314863,12.790352571341,NA,NA,NA
"8",1,"economicIncentive",".",21.0471625441877,1.27316132274828,Inf,18.5518122050917,23.5425128832837,NA,NA,NA
"9",1,"legalPolicy",".",18.2549665693067,1.27316132274828,Inf,15.7596162302107,20.7503169084027,NA,NA,NA
"10",1,"sharedResource",".",11.0544758560987,1.27316132274828,Inf,8.55912551700269,13.5498261951947,NA,NA,NA
"11",1,"training",".",11.030635878432,1.27316132274828,Inf,8.53528553933598,13.525986217528,NA,NA,NA
"12",1,"youthSocialization",".",27.8705569505767,1.27316132274828,Inf,25.3752066114807,30.3659072896727,NA,NA,NA
"13",2,"communityEvent",".",17.0774976923382,1.27316132274837,Inf,14.582147353242,19.5728480314344,NA,NA,NA
"14",2,"economicIncentive",".",15.9008897833427,1.27316132274828,Inf,13.4055394442467,18.3962401224387,NA,NA,NA
"15",2,"legalPolicy",".",16.3750573099523,1.27316132274828,Inf,13.8797069708563,18.8704076490483,NA,NA,NA
"16",2,"sharedResource",".",16.0613673130564,1.27316132274828,Inf,13.5660169739604,18.5567176521524,NA,NA,NA
"17",2,"training",".",15.9853485570048,1.27316132274828,Inf,13.4899982179088,18.4806988961009,NA,NA,NA
"18",2,"youthSocialization",".",47.7233567350292,1.27316132274828,Inf,45.2280063959332,50.2187070741252,NA,NA,NA
"19",0,".","communityEvent - economicIncentive",NA,0.0765065370958581,Inf,NA,NA,28.6221687741277,374.114028168153,0
"20",0,".","communityEvent - legalPolicy",NA,0.0765065370958581,Inf,NA,NA,29.0062967165749,379.134879418627,0
"21",0,".","communityEvent - sharedResource",NA,0.0765065370958581,Inf,NA,NA,1.35044893948434,17.6514189603472,0
"22",0,".","communityEvent - training",NA,0.0765065370958581,Inf,NA,NA,12.0646300523447,157.694107069941,0
"23",0,".","communityEvent - youthSocialization",NA,0.0765065370958581,Inf,NA,NA,-33.6711611529223,-440.108289187555,0
"24",0,".","economicIncentive - legalPolicy",NA,0.0765065370958594,Inf,NA,NA,0.384127942447185,5.02085125047405,7.63379544765908e-06
"25",0,".","economicIncentive - sharedResource",NA,0.0765065370958594,Inf,NA,NA,-27.2717198346434,-356.4626092078,0
"26",0,".","economicIncentive - training",NA,0.0765065370958594,Inf,NA,NA,-16.5575387217831,-216.419921098208,0
