"","intervention_type","environmentType","intervention_intensity","mean_prejudice","sd_prejudice","mean_coop_other","mean_def_other","n_obs"
"1","communityEvent",0,0,95.8962821782178,13.5862500492583,0,0,1010
"2","communityEvent",0,1,11.3685298726014,1.53931246661163,53.7485148514851,4.82079207920792,1010
"3","communityEvent",0,2,5.65675461694073,1.93961291193974,84.9148514851485,2.77623762376238,1010
"4","communityEvent",0,3,3.98835919418836,2.14214993165657,85.3574257425743,1.88712871287129,1010
"5","communityEvent",0,4,3.1743434890711,2.17254720342478,90.3237623762376,1.38613861386139,1010
"6","communityEvent",0,5,2.62656401860514,2.20280334765153,96.6089108910891,1.22277227722772,1010
"7","communityEvent",0,6,2.21982085597732,2.25537147316354,106.455445544554,1.17821782178218,1010
"8","communityEvent",0,7,1.98611063747037,2.25989058919542,110.807920792079,1.02574257425743,1010
"9","communityEvent",0,8,1.82339787012573,2.25023426096077,107.554455445545,0.741584158415842,1010
"10","communityEvent",0,9,1.60844878906849,2.29287277720984,121.468316831683,0.969306930693069,1010
"11","communityEvent",0,10,1.47046870188267,2.28921409381208,135.807920792079,0.908910891089109,1010
"12","communityEvent",1,0,95.9107623762376,13.6647903988016,38.5178217821782,490.780198019802,1010
"13","communityEvent",1,1,13.7527054937594,1.347685563177,470.607920792079,62.3970297029703,1010
"14","communityEvent",1,2,7.12081063244382,1.77888474950246,476.513861386139,29.4930693069307,1010
"15","communityEvent",1,3,4.91447385497171,2.02149618834835,490.506930693069,17.6990099009901,1010
"16","communityEvent",1,4,3.7391684733342,2.0585825587726,504.424752475248,16.1039603960396,1010
"17","communityEvent",1,5,3.03749738076508,2.12779908051065,506.690099009901,12.8841584158416,1010
"18","communityEvent",1,6,2.59058297088913,2.2197510211364,501.482178217822,11.3970297029703,1010
"19","communityEvent",1,7,2.28185276568635,2.21482244019808,512.990099009901,8.9039603960396,1010
"20","communityEvent",1,8,2.02752916175174,2.27806998674822,515.408910891089,7.28316831683168,1010
"21","communityEvent",1,9,1.8465612822995,2.32466201152045,507.028712871287,7.5970297029703,1010
"22","communityEvent",1,10,1.66765602797185,2.28873797956229,512.585148514852,6.29306930693069,1010
"23","communityEvent",2,0,95.9076683168317,13.5734539876734,9.55841584158416,107.823762376238,1010
"24","communityEvent",2,1,11.1519669011756,1.6375001259901,125.605940594059,11.4693069306931,1010
"25","communityEvent",2,2,5.95104825239999,1.92675283144233,128.159405940594,6.6009900990099,1010
"26","communityEvent",2,3,4.01947900005144,2.09522110991932,138.065346534653,2.28217821782178,1010
"27","communityEvent",2,4,3.14968021809859,2.21203500604969,130.721782178218,2.96633663366337,1010
"28","communityEvent",2,5,2.62737470278278,2.2299865407041,117.162376237624,2.18316831683168,1010
"29","communityEvent",2,6,2.27114097344199,2.19852468641103,116.518811881188,1.85445544554455,1010
